Student_ID,Gender,Age,Branch,CGPA,10th_Percentage,12th_Percentage,No_of_Internships,No_of_Projects,Placed
1001,Female,20,ME,5.0,62.0,54.51,2,4,No
1002,Male,20,CSE,5.58,74.76,65.24,2,4,Yes
1003,Female,20,ME,5.0,57.82,55.43,0,5,No
1004,Male,22,ME,7.92,79.58,84.11,1,8,Yes
1005,Female,25,EE,8.81,92.22,92.61,0,2,Yes
1006,Male,21,ME,6.9,68.63,66.79,0,3,Yes
1007,Female,25,EE,7.43,79.85,72.93,0,3,Yes
1008,Female,24,CSE,5.04,65.89,69.72,2,5,Yes
1009,Male,24,ME,5.72,65.42,67.22,3,3,Yes
1010,Male,24,ECE,7.89,86.6,84.31,1,8,Yes
1011,Male,20,ME,5.29,57.49,50.37,1,3,No
1012,Male,22,CE,8.39,92.18,82.39,2,4,Yes
1013,Female,20,IT,5.28,57.75,47.81,2,8,Yes
1014,Male,20,ME,6.14,64.62,66.12,0,5,No
1015,Female,24,CE,6.16,79.35,78.14,1,8,Yes
1016,Male,21,ME,8.26,96.4,87.94,0,5,Yes
1017,Male,23,CE,5.46,58.09,57.59,4,7,Yes
1018,Female,25,IT,8.8,98.76,100,1,1,Yes
1019,Male,24,ECE,7.15,78.83,68.96,0,1,No
1020,Male,24,CSE,6.29,82.78,76.64,3,4,Yes
1021,Female,23,CSE,5.0,54.75,52.51,1,5,No
1022,Female,20,CSE,6.97,85.68,90.09,0,4,Yes
1023,Male,23,CSE,9.35,95.24,93.22,1,1,Yes
1024,Female,20,CE,7.89,91.59,84.58,0,3,Yes
1025,Male,23,CSE,7.69,88.42,86.61,4,8,Yes
1026,Female,21,CSE,5.62,60.67,51.72,0,3,No
1027,Male,24,CSE,7.6,97.08,88.52,1,4,Yes
1028,Male,24,CSE,6.98,79.13,80.28,1,4,Yes
1029,Male,25,IT,5.68,63.02,55.38,1,7,Yes
1030,Male,24,CE,7.81,98.81,90.13,1,7,Yes
1031,Female,22,IT,5.95,71.47,71.25,4,5,Yes
1032,Female,24,IT,6.86,82.51,89.41,0,1,Yes
1033,Male,24,CSE,6.97,66.8,69.17,1,2,Yes
1034,Male,25,IT,5.92,63.56,53.62,2,2,Yes
1035,Female,23,ECE,5.77,55.48,62.49,0,0,No
1036,Female,23,CSE,6.85,65.1,71.28,3,6,Yes
1037,Male,20,IT,8.36,77.43,83.17,2,7,Yes
1038,Male,21,CE,5.0,51.21,54.47,3,5,Yes
1039,Female,22,CSE,6.35,84.36,81.25,1,2,Yes
1040,Male,21,CSE,6.75,82.34,79.51,0,5,Yes
1041,Male,25,CE,6.25,76.27,83.18,4,2,Yes
1042,Male,20,ECE,6.06,66.94,71.1,4,1,Yes
1043,Male,20,EE,5.0,50.08,56.74,2,5,No
1044,Male,20,CE,9.01,95.12,96.34,0,6,Yes
1045,Female,22,IT,5.27,64.49,56.78,3,4,Yes
1046,Female,22,IT,7.28,90.85,86.32,2,4,Yes
1047,Male,25,CSE,7.58,73.19,79.41,0,1,Yes
1048,Female,22,CSE,7.98,96.65,90.88,2,1,Yes
1049,Female,24,ME,5.02,53.57,51.03,0,5,No
1050,Male,25,EE,9.61,93.74,99.23,2,2,Yes
1051,Female,23,CSE,5.73,62.21,67.48,2,4,Yes
1052,Female,23,EE,8.42,85.24,84.33,1,6,Yes
1053,Male,22,ME,8.64,91.15,86.14,1,2,Yes
1054,Female,21,CSE,5.03,65.67,65.39,0,5,No
1055,Male,23,IT,6.95,72.83,63.95,1,5,Yes
1056,Male,24,IT,5.0,50.29,46.62,3,7,Yes
1057,Female,24,ME,7.86,93.99,92.78,1,3,Yes
1058,Female,25,CSE,6.51,72.9,65.2,0,3,Yes
1059,Male,25,IT,7.44,92.48,85.75,1,3,Yes
1060,Female,22,ME,6.92,90.76,85.3,0,4,Yes
1061,Male,25,CSE,7.18,96.91,87.63,0,6,Yes
1062,Male,23,EE,7.19,77.63,71.55,2,2,Yes
1063,Female,20,ME,5.21,58.02,53.62,3,4,Yes
1064,Male,25,CSE,6.72,79.01,83.96,2,3,Yes
1065,Female,24,ME,5.62,67.01,64.72,1,3,No
1066,Female,20,ECE,6.27,67.75,73.8,0,2,No
1067,Female,24,ME,6.66,76.37,75.07,2,2,Yes
1068,Female,20,CSE,6.81,72.09,75.6,2,3,Yes
1069,Male,23,CSE,8.76,89.09,85.22,2,2,Yes
1070,Female,20,CSE,5.67,69.91,69.9,1,5,Yes
1071,Male,22,CSE,7.54,83.9,79.41,1,4,Yes
1072,Female,22,IT,5.65,72.23,67.75,2,3,Yes
1073,Female,25,CSE,5.94,60.6,59.32,4,4,Yes
1074,Male,21,IT,6.39,67.68,63.12,0,0,No
1075,Male,21,EE,6.28,86.89,78.74,1,3,Yes
1076,Female,22,CE,6.58,73.41,78.21,0,4,No
1077,Male,24,CE,5.0,54.17,48.64,1,4,No
1078,Female,23,ECE,7.87,71.69,77.17,1,4,Yes
1079,Female,21,EE,5.0,62.97,54.43,1,2,No
1080,Female,23,IT,6.13,61.34,64.07,1,5,Yes
1081,Female,25,ECE,6.83,89.39,82.95,0,1,Yes
1082,Male,20,CSE,6.18,65.07,68.55,1,1,Yes
1083,Female,22,ECE,5.19,74.2,65.65,1,3,No
1084,Male,25,ME,8.56,78.18,85.29,2,2,Yes
1085,Female,23,ECE,7.42,71.67,66.68,1,5,Yes
1086,Male,23,IT,7.29,82.84,88.28,2,2,Yes
1087,Female,24,CSE,5.0,54.31,48.85,2,6,Yes
1088,Male,24,ECE,5.0,52.66,51.99,1,3,No
1089,Male,21,CE,5.64,71.47,74.04,4,4,Yes
1090,Male,24,CSE,6.85,69.99,64.03,0,7,Yes
1091,Male,25,IT,7.46,84.57,82.05,1,3,Yes
1092,Male,24,ECE,8.09,93.09,98.64,2,3,Yes
1093,Male,20,IT,7.04,64.63,65.19,1,1,Yes
1094,Male,24,ME,7.36,68.48,75.27,4,2,Yes
1095,Female,23,CSE,8.65,86.49,89.18,1,4,Yes
1096,Female,23,CE,5.0,56.19,63.57,0,6,No
1097,Female,20,EE,5.56,70.09,71.88,1,7,Yes
1098,Female,25,CSE,6.13,66.1,68.24,4,4,Yes
1099,Male,24,CSE,5.87,53.35,54.71,4,5,Yes
1100,Male,25,EE,5.0,54.92,47.91,0,3,No
1101,Male,23,CSE,7.55,76.03,76.22,0,1,Yes
1102,Female,21,ECE,7.14,78.57,72.75,1,4,Yes
1103,Male,22,EE,5.0,57.74,55.69,1,4,No
1104,Male,22,CSE,5.51,68.85,67.55,1,4,Yes
1105,Male,25,IT,5.45,50.4,55.97,4,6,Yes
1106,Female,22,ME,5.04,61.28,65.71,0,2,No
1107,Female,25,ME,7.9,80.78,87.04,1,3,Yes
1108,Female,20,CE,5.11,66.01,63.49,2,6,No
1109,Male,22,ME,5.81,62.59,67.43,2,5,Yes
1110,Male,20,CSE,9.42,97.36,100,4,7,Yes
1111,Male,23,CSE,7.2,76.29,74.48,2,4,Yes
1112,Female,20,EE,7.69,73.1,74.25,1,4,Yes
1113,Female,23,CE,5.0,64.81,62.16,3,3,No
1114,Male,24,CSE,7.18,72.23,74.3,3,3,Yes
1115,Male,23,EE,9.28,90.85,91.93,1,5,Yes
1116,Male,21,ME,5.15,54.87,57.21,4,3,No
1117,Male,20,CE,7.07,90.39,82.04,2,8,Yes
1118,Male,21,ME,5.76,60.06,65.0,1,5,No
1119,Female,24,CSE,7.06,92.06,84.66,1,2,Yes
1120,Male,20,IT,6.84,88.63,89.23,1,1,Yes
1121,Male,20,ECE,6.96,88.12,87.36,1,7,Yes
1122,Female,25,ECE,5.8,72.44,79.79,1,3,Yes
1123,Male,23,CSE,5.0,53.96,54.91,1,4,No
1124,Male,24,ECE,5.58,72.23,73.13,2,6,Yes
1125,Female,25,ME,6.46,71.07,77.06,2,3,Yes
1126,Male,22,EE,6.84,68.34,61.09,0,6,No
1127,Male,25,IT,5.77,56.38,47.46,1,4,No
1128,Female,23,ME,8.26,85.33,92.76,1,4,Yes
1129,Female,21,ME,5.12,67.16,67.17,1,2,No
1130,Female,24,EE,7.94,81.49,71.96,2,2,Yes
1131,Female,22,CE,5.0,67.2,60.47,2,1,No
1132,Female,20,ME,5.0,60.54,58.1,1,5,No
1133,Female,20,CE,5.0,57.62,61.2,0,3,No
1134,Female,23,CSE,7.3,86.99,79.04,1,4,Yes
1135,Female,20,CSE,7.73,98.24,89.23,3,5,Yes
1136,Male,20,CSE,7.2,86.6,79.76,2,4,Yes
1137,Female,20,IT,7.58,86.36,84.21,0,3,Yes
1138,Male,25,IT,5.0,55.64,46.02,2,4,No
1139,Female,20,ECE,5.0,55.19,53.03,0,6,No
1140,Male,21,CSE,6.54,81.03,80.58,2,3,Yes
1141,Female,21,CSE,5.1,57.18,50.73,2,4,No
1142,Female,23,ECE,7.44,77.62,78.05,3,4,Yes
1143,Male,25,IT,6.68,71.55,69.99,2,4,Yes
1144,Male,23,ECE,5.0,52.79,57.76,3,6,Yes
1145,Male,23,ECE,7.75,96.76,100,3,4,Yes
1146,Female,24,CSE,5.37,53.03,45,1,5,No
1147,Male,21,EE,9.11,98.56,97.99,1,6,Yes
1148,Female,25,ECE,7.01,88.67,90.32,0,4,Yes
1149,Female,25,CE,5.83,79.53,72.24,2,6,Yes
1150,Female,25,IT,6.98,79.16,86.04,1,5,Yes
1151,Female,25,CE,8.56,94.71,86.39,1,0,Yes
1152,Female,22,CE,5.51,73.83,67.91,0,6,No
1153,Female,25,CE,5.13,51.85,47.91,0,3,No
1154,Female,24,ME,5.0,58.11,55.99,2,2,No
1155,Male,25,ME,6.39,61.47,55.78,2,6,Yes
1156,Female,24,CE,6.03,72.62,67.69,1,7,Yes
1157,Female,21,ME,5.0,52.56,51.21,3,5,No
1158,Male,20,ME,5.14,63.37,69.67,1,7,No
1159,Male,22,CE,5.9,70.33,67.47,1,1,No
1160,Male,20,ME,6.69,81.85,86.09,1,6,Yes
1161,Male,25,ECE,6.34,80.15,86.46,0,1,Yes
1162,Female,23,CSE,5.0,64.12,59.54,1,5,No
1163,Male,23,ECE,5.0,50.81,50.09,0,3,No
1164,Male,23,CSE,7.09,82.74,82.16,4,4,Yes
1165,Male,20,IT,7.79,73.04,74.48,1,0,Yes
1166,Male,25,EE,5.59,55.08,55.55,0,3,No
1167,Female,25,ECE,8.38,84.07,85.44,0,5,Yes
1168,Male,20,ME,7.76,93.4,89.08,1,5,Yes
1169,Male,25,CSE,7.13,67.49,71.55,1,1,Yes
1170,Female,25,ECE,7.79,96.87,92.97,2,3,Yes
1171,Male,20,EE,5.66,53.87,54.71,1,3,No
1172,Female,22,ECE,7.22,85.17,78.17,1,5,Yes
1173,Female,23,CSE,7.89,98.02,100,2,3,Yes
1174,Female,20,CSE,6.25,79.77,83.83,0,5,Yes
1175,Male,24,CSE,5.0,57.52,55.62,1,1,No
1176,Male,22,EE,5.81,62.23,54.27,1,3,No
1177,Male,22,EE,5.96,60.51,61.52,4,2,Yes
1178,Male,21,CE,6.52,71.81,63.39,2,3,Yes
1179,Male,24,IT,6.0,64.7,57.54,2,2,No
1180,Male,21,ME,5.16,61.6,60.49,1,3,No
1181,Male,20,CSE,6.34,69.51,72.41,1,3,Yes
1182,Male,22,EE,6.21,72.05,74.29,3,5,Yes
1183,Male,21,ECE,7.21,94.62,85.62,0,2,Yes
1184,Female,22,CE,5.56,75.43,70.54,0,7,No
1185,Female,24,ECE,7.46,74.63,67.67,0,4,Yes
1186,Female,24,CSE,9.0,92.33,83.79,2,2,Yes
1187,Female,24,EE,6.25,74.4,75.69,4,3,Yes
1188,Female,22,ECE,7.01,83.74,76.59,1,3,Yes
1189,Female,22,ME,7.75,92.18,99.74,1,4,Yes
1190,Male,22,ECE,5.78,56.9,47.81,3,3,Yes
1191,Female,22,CE,6.57,85.34,78.76,4,3,Yes
1192,Male,20,CE,6.38,74.77,82.17,1,1,Yes
1193,Female,25,EE,5.0,64.0,54.15,0,2,No
1194,Male,20,IT,6.85,77.94,71.44,0,4,Yes
1195,Male,24,EE,5.11,55.82,63.37,2,3,No
1196,Female,21,ECE,5.0,69.67,60.39,2,5,No
1197,Male,24,CSE,8.16,95.64,91.37,2,6,Yes
1198,Male,24,ECE,8.18,84.73,80.13,1,4,Yes
1199,Female,25,ME,6.75,80.83,81.57,2,8,Yes
1200,Male,20,ECE,5.6,58.36,59.68,2,1,No
1201,Male,25,CSE,5.0,50.93,46.58,2,3,No
1202,Female,25,EE,7.73,84.58,83.92,4,3,Yes
1203,Female,23,CE,6.5,66.77,63.15,2,4,Yes
1204,Female,21,CE,6.58,63.67,59.04,4,5,Yes
1205,Female,23,IT,7.05,67.09,73.9,1,1,Yes
1206,Male,23,ME,8.35,96.78,100,1,5,Yes
1207,Male,22,ME,5.12,60.49,65.39,1,2,No
1208,Female,21,CSE,7.77,82.82,82.38,0,3,Yes
1209,Male,21,CSE,7.01,76.97,83.69,3,6,Yes
1210,Male,22,IT,6.65,81.65,87.99,1,4,Yes
1211,Female,21,IT,7.39,91.04,97.85,2,5,Yes
1212,Female,22,ME,5.0,50.45,50.67,4,2,Yes
1213,Male,23,CE,5.0,56.58,55.66,2,3,No
1214,Female,25,CSE,8.1,86.09,90.32,2,2,Yes
1215,Female,23,ECE,5.0,54.25,56.3,0,3,No
1216,Male,21,ECE,5.69,63.08,59.01,1,2,No
1217,Male,25,CSE,5.74,65.03,62.33,3,5,Yes
1218,Male,22,IT,5.75,60.82,68.05,1,8,Yes
1219,Female,23,ME,8.88,89.3,94.16,2,4,Yes
1220,Male,24,EE,5.0,53.83,53.99,1,4,No
1221,Male,22,ME,7.07,71.65,73.9,1,6,Yes
1222,Male,21,ECE,6.02,72.38,63.42,2,5,Yes
1223,Female,25,CSE,5.2,53.58,51.21,1,1,No
1224,Female,23,CSE,7.11,70.03,73.87,4,4,Yes
1225,Female,23,ECE,7.39,94.94,91.73,4,6,Yes
1226,Female,20,CSE,7.39,76.33,75.85,0,0,No
1227,Male,25,EE,5.58,70.78,67.61,1,2,No
1228,Female,20,CSE,8.51,82.35,83.42,3,2,Yes
1229,Female,23,ECE,7.77,84.46,75.34,1,2,Yes
1230,Female,20,CSE,9.62,98.68,92.89,1,4,Yes
1231,Female,21,IT,5.0,57.02,58.9,1,1,No
1232,Female,21,EE,7.47,70.93,69.85,3,4,Yes
1233,Male,23,IT,5.61,64.69,58.0,0,2,No
1234,Male,23,CE,7.45,77.56,84.98,0,2,Yes
1235,Female,23,ME,5.0,54.53,57.57,1,4,No
1236,Female,21,ME,6.51,78.79,80.88,0,6,Yes
1237,Female,21,CE,9.59,97.14,89.25,1,2,Yes
1238,Male,21,ECE,7.86,88.0,84.85,1,2,Yes
1239,Male,20,ME,7.42,85.4,89.11,0,3,Yes
1240,Female,25,CSE,6.15,62.78,69.61,1,2,No
1241,Male,21,ECE,6.91,82.08,84.41,2,7,Yes
1242,Male,21,ME,5.83,67.26,59.78,0,6,Yes
1243,Female,24,CSE,8.95,91.49,98.5,2,3,Yes
1244,Male,25,CSE,5.0,60.72,58.93,2,7,Yes
1245,Female,20,CSE,6.56,77.03,67.24,1,8,Yes
1246,Female,25,ECE,9.34,96.05,89.28,1,2,Yes
